,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
116,116,2,No,31.316999999999997,54.825,-0.5229335086224183,,,,,,,,
117,117,2,No,31.089000000000002,54.685,-0.5157164600415576,,,,,,,,
118,118,2,No,31.105,55.038000000000004,-0.5067700954178525,,,,,,,,
119,119,2,No,31.372,54.494,-0.5348747774371045,,,,,,,,
120,120,2,No,31.503,54.018,-0.5548655564942837,,,,,,,,
121,121,2,No,31.166,54.435,-0.5264488974626518,,,,,,,,
122,122,2,No,31.451,55.123000000000005,-0.5211815299320401,,,,,,,,
123,123,2,No,31.349,55.272,-0.5121606853143454,,,,,,,,
124,124,2,No,31.543000000000003,55.1,-0.5262681010217101,,,,,,,,
125,125,2,No,31.291999999999998,54.53,-0.529950057775199,,,,,,,,
126,126,2,No,31.651,54.835,-0.5388951062712459,,,,,,,,
127,127,2,No,31.195999999999998,55.138999999999996,-0.5084101867112285,,,,,,,,
128,128,2,No,31.186999999999998,54.88,-0.5150917314060335,,,,,,,,
129,129,2,No,31.609,54.855,-0.5362927022152293,,,,,,,,
130,130,2,No,31.506999999999998,55.49,-0.5138113552760322,,,,,,,,
131,131,2,No,31.116,54.766000000000005,-0.5147890993297752,,,,,,,,
132,132,2,No,31.118000000000002,54.201,-0.5306778851068037,,,,,,,,
133,133,2,No,31.198,54.95,-0.5136953871128267,,,,,,,,
134,134,2,No,31.743000000000002,54.727,-0.5464139463927524,,,,,,,,
135,135,2,No,31.079,55.075,-0.5044991998815356,,,,,,,,
136,136,2,No,31.465,54.931000000000004,-0.5271780075349011,,,,,,,,
137,137,2,No,31.561999999999998,54.81100000000001,-0.5352397988670248,,,,,,,,
138,138,2,No,31.401,54.425,-0.5382413147443061,,,,,,,,
139,139,2,No,31.649,55.196999999999996,-0.5287059245177166,,,,,,,,
140,140,2,No,31.785,55.43,-0.5288214507776212,,,,,,,,
141,141,2,No,30.848000000000003,54.705,-0.5034168738772502,,,,,,,,
142,142,2,No,31.121,54.882,-0.5118302978361384,,,,,,,,
143,143,2,No,32.046,55.43600000000001,-0.5412084190113848,,,,,,,,
144,144,2,No,31.305,54.531000000000006,-0.5305575945709358,,,,,,,,
145,145,2,No,31.593000000000004,54.645,-0.5414160176737342,,,,,,,,
146,146,2,No,31.500999999999998,55.132,-0.523351146229573,,,,,,,,
147,147,2,No,31.443,55.238,-0.5176284537334128,,,,,,,,
148,148,2,No,31.213,54.891000000000005,-0.5160509609534407,,,,,,,,
149,149,2,No,31.541,54.762,-0.5355911056849061,,,,,,,,
150,150,2,No,31.066999999999997,54.225,-0.5274928540857384,,,,,,,,
